,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,38.05,93,89,9.1,CL,1691641399
1,Puerto Natales,-51.7236,-72.4875,34.11,95,88,3.58,CL,1691641397
2,Manokwari,-0.8667,134.0833,81.91,77,100,6.2,ID,1691641445
3,Roboré,-18.3333,-59.75,75.52,53,0,2.13,BO,1691641623
4,Eiterfeld,50.7667,9.8,54.0,90,80,2.28,DE,1691641601
5,Lihue,21.9789,-159.3672,87.04,71,75,18.41,US,1691641241
6,Bredasdorp,-34.5322,20.0403,49.44,84,0,4.41,ZA,1691641400
7,Iqaluit,63.7506,-68.5145,42.53,100,100,5.75,CA,1691641418
8,Blackmans Bay,-43.0167,147.3167,57.33,59,72,11.86,AU,1691641421
9,West Island,-12.1568,96.8225,82.38,69,82,14.97,CC,1691641167
10,Crixás,-14.5489,-49.9692,74.7,36,3,5.19,BR,1691641802
11,Adamstown,-25.066,-130.1015,67.12,53,87,22.95,PN,1691641403
12,Yellowknife,62.456,-114.3525,64.92,59,75,6.91,CA,1691641397
13,Ushuaia,-54.8,-68.3,38.86,75,0,2.3,AR,1691641400
14,Port Mathurin,-19.6833,63.4167,72.19,75,7,11.23,MU,1691641399
15,Papatowai,-46.5619,169.4708,41.65,76,55,7.16,NZ,1691641411
16,Mil’kovo,55.6078,37.7956,63.52,71,46,6.67,RU,1691641458
17,Lázaro Cárdenas,17.9583,-102.2,82.18,80,100,1.61,MX,1691641476
18,Badger,64.8,-147.5333,69.71,75,75,10.36,US,1691641435
19,Taltal,-25.4,-70.4833,57.92,89,43,1.28,CL,1691641804
20,Port-aux-Français,-49.35,70.2167,38.61,89,96,24.87,TF,1691641398
21,Newtown Trim,53.5561,-6.77,62.47,96,2,4.12,IE,1691641805
22,Waitangi,-43.9535,-176.5597,48.81,81,4,2.93,NZ,1691641404
23,Tiksi,71.6872,128.8694,70.0,38,25,3.98,RU,1691641404
24,Province of Trapani,37.8333,12.6667,70.27,100,0,2.3,IT,1691641806
