,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pathein,16.7833,94.7333,74.39,82,6,5.86,MM,1702258167
1,Ilulissat,69.2167,-51.1,28.42,74,100,12.66,GL,1702258167
2,Port-aux-Français,-49.35,70.2167,39.22,79,74,21.18,TF,1702258167
3,Naryan-Mar,67.6713,53.087,-8.9,91,100,11.01,RU,1702258095
4,Longyearbyen,78.2186,15.6401,31.84,74,75,12.66,SJ,1702258055
5,Blackmans Bay,-43.0167,147.3167,71.53,53,8,1.99,AU,1702258168
6,Adamstown,-25.066,-130.1015,70.32,57,0,7.14,PN,1702258054
7,Cabo San Lucas,22.8909,-109.9124,80.76,52,0,4.61,MX,1702257890
8,Moose Jaw,50.4001,-105.5344,23.25,86,19,9.22,CA,1702258095
9,Barreirinhas,-2.7469,-42.8264,79.2,84,99,11.81,BR,1702258169
10,Atafu Village,-8.5421,-172.5159,83.8,76,100,13.53,TK,1702258169
11,Hawaiian Paradise Park,19.5933,-154.9731,78.03,93,100,3.44,US,1702257886
12,Waitangi,-43.9535,-176.5597,52.95,59,0,5.01,NZ,1702258169
13,Bilibino,68.0546,166.4372,-14.58,98,34,4.79,RU,1702258170
14,Flying Fish Cove,-10.4217,105.6791,82.08,74,40,10.36,CX,1702258170
15,Port Lincoln,-34.7333,135.8667,63.07,93,100,15.48,AU,1702258170
16,Thunder Bay,48.4001,-89.3168,24.78,68,100,11.5,CA,1702257818
17,El Abiodh Sidi Cheikh,32.893,0.5484,51.71,57,0,2.8,DZ,1702258171
18,Port Elizabeth,-33.918,25.5701,59.09,92,0,4.61,ZA,1702258171
19,Weno,7.4515,151.8468,87.75,70,75,8.05,FM,1702258171
20,West Island,-12.1568,96.8225,80.58,74,75,10.36,CC,1702258171
21,Reinosa,42.9996,-4.138,46.45,91,100,11.97,ES,1702258172
22,College,64.8569,-147.8028,-9.54,75,75,0.0,US,1702258172
23,Afaahiti,-17.75,-149.2833,85.87,82,76,24.85,PF,1702258172
24,Puerto Natales,-51.7236,-72.4875,43.52,87,63,4.61,CL,1702258172
25,Iqaluit,63.7506,-68.5145,24.53,79,100,12.66,CA,1702258172
26,Grytviken,-54.2811,-36.5092,42.12,93,100,15.05,GS,1702258030
27,Queensbury,53.7667,-1.9167,47.17,95,100,13.85,GB,1702258173
28,Lázaro Cárdenas,17.9583,-102.2,79.61,70,100,0.83,MX,1702258173
29,Avarua,-21.2078,-159.775,80.65,78,75,28.77,CK,1702258173
30,Kharan,28.5833,65.4167,53.22,26,0,3.11,PK,1702258174
31,Bethel,41.3712,-73.414,61.21,89,100,1.99,US,1702258174
32,Albany,42.6001,-73.9662,46.17,91,100,5.01,US,1702257582
33,Punta Arenas,-53.15,-70.9167,46.51,61,0,3.44,CL,1702258122
34,Puerto Ayora,-0.7393,-90.3518,75.45,87,35,7.38,EC,1702257885
35,Solwezi,-12.1688,26.3894,63.45,86,90,3.91,ZM,1702258175
36,Gadzhiyevo,69.2551,33.3362,6.98,91,88,15.79,RU,1702258175
37,Stanley,54.868,-1.6985,42.28,96,75,5.75,GB,1702258017
38,Ndélé,8.4109,20.6473,74.37,25,100,2.28,CF,1702258175
39,Nagqu Prefecture,31.5,92.0,6.67,47,0,3.98,CN,1702258175
40,Carnarvon,-24.8667,113.6333,85.23,24,0,20.29,AU,1702258176
41,Zhicheng,30.2956,111.5047,40.46,73,100,11.79,CN,1702258176
42,Carutapera,-1.195,-46.02,79.81,79,69,8.05,BR,1702258176
43,Anadyr,64.75,177.4833,-16.01,82,20,11.18,RU,1702258176
44,Nampula,-15.1165,39.2666,75.15,88,75,10.36,MZ,1702258176
45,Lakhipur,26.0299,90.3041,59.04,61,0,4.03,IN,1702258177
46,Bredasdorp,-34.5322,20.0403,59.25,82,0,2.77,ZA,1702257892
47,Barcelos,41.5388,-8.6151,62.74,94,100,8.79,PT,1702258177
48,Boa Vista,2.8197,-60.6733,84.18,61,0,8.05,BR,1702258177
49,Rosarito,32.3333,-117.0333,65.91,41,41,5.91,MX,1702258177
50,Cabedelo,-6.9811,-34.8339,79.47,66,99,8.32,BR,1702257987
51,Brigantine,39.4101,-74.3646,61.2,96,100,17.27,US,1702258178
52,Eureka,40.8021,-124.1637,56.25,84,35,1.01,US,1702258178
53,Tutóia,-2.7619,-42.2744,80.46,83,100,15.19,BR,1702258178
54,Edinburgh of the Seven Seas,-37.0676,-12.3116,56.62,70,97,16.6,SH,1702258178
55,Margaret River,-33.95,115.0667,72.16,31,0,8.05,AU,1702258102
56,North Bend,43.4065,-124.2243,56.16,100,100,6.91,US,1702258179
57,Tiksi,71.6872,128.8694,-14.13,100,100,4.83,RU,1702258179
58,Chonchi,-42.6128,-73.8092,54.61,92,100,2.62,CL,1702258179
59,Papatowai,-46.5619,169.4708,63.43,43,83,13.94,NZ,1702258179
60,Gewanē,10.1664,40.6453,71.53,47,3,3.62,ET,1702258180
61,Saipan,15.1355,145.701,86.7,74,0,12.66,MP,1702258180
62,Kitwe,-12.7961,28.2477,69.62,82,100,3.89,ZM,1702258180
63,Whitehorse,60.7161,-135.0538,9.37,83,100,4.61,CA,1702258181
64,Thompson,55.7435,-97.8558,5.16,85,100,3.44,CA,1702258181
65,Ust-Nera,64.5667,143.2,-5.37,98,100,8.77,RU,1702258181
66,Amahai,-3.3333,128.9167,84.06,72,95,3.89,ID,1702258181
67,Saint-Philippe,-21.3585,55.7679,74.79,85,50,11.61,RE,1702258181
68,Nova Sintra,14.8667,-24.7167,73.35,74,100,8.52,CV,1702258181
69,Opuwo,-18.0607,13.84,69.69,39,34,4.03,NA,1702258182
70,Porto Cristo,39.5395,3.333,58.64,87,17,7.78,ES,1702258182
71,Kirakira,-10.4544,161.9205,81.79,82,92,1.39,SB,1702258182
72,Callao,-12.0667,-77.15,71.73,77,75,14.97,PE,1702257997
73,Hammerfest,70.6634,23.6821,25.25,74,20,9.22,NO,1702258182
74,Thurso,58.5927,-3.5259,43.05,81,100,18.59,GB,1702258183
